round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc
10,CAGP25,Canada,RACE,ANT,4,3,0,0.0204,0.9796,2197.0,34,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,PIA,3,4,0,0.3668,0.6332,3713.0,116,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACE,NOR,7,18,0,0.0858,0.9142,2749.0,81,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,VER,2,2,1,0.7277,0.2723,362.0,8,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,HAM,5,6,0,0.1539,0.8461,832.0,12,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,PIA,3,4,0,0.7981,0.2019,844.0,22,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,LEC,8,5,0,0.094,0.906,317.0,6,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,ALO,6,7,0,0.0598,0.9402,579.0,7,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,NOR,7,18,0,0.5692,0.4308,780.0,17,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,ALB,10,20,0,0.0402,0.9598,127.0,4,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,RUS,1,1,1,0.6395,0.3605,121.0,9,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
10,CAGP25,Canada,RACEPODIUM,ANT,4,3,1,0.1484,0.8516,749.0,12,2025-06-14T21:20:00+00:00,2025-06-15T18:00:00+00:00
11,AUGP25,Austria,RACE,LEC,2,3,0,0.0876,0.9124,5030.0,76,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACE,ANT,9,19,0,0.018,0.982,510.0,5,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACE,VER,7,18,0,0.0528,0.9472,11907.0,106,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACE,HAM,4,4,0,0.0175,0.9825,1954.0,49,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACE,PIA,3,2,0,0.1821,0.8179,7112.0,84,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACE,RUS,5,5,0,0.0243,0.9757,2506.0,14,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACE,NOR,1,1,1,0.6847,0.3153,14788.0,138,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACEPODIUM,HAM,4,4,0,0.1902,0.8098,792.0,15,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACEPODIUM,NOR,1,1,1,0.8479,0.1521,43.0,7,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACEPODIUM,PIA,3,2,1,0.7753,0.2247,150.0,13,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACEPODIUM,RUS,5,5,0,0.1918,0.8082,34.0,3,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACEPODIUM,VER,7,18,0,0.3963,0.6037,1190.0,27,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
11,AUGP25,Austria,RACEPODIUM,LEC,2,3,1,0.5242,0.4758,2227.0,36,2025-06-28T15:20:00+00:00,2025-06-29T13:00:00+00:00
12,BRGP25,Great Britain,RACE,HAM,5,4,0,0.0805,0.9195,13044.0,262,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
12,BRGP25,Great Britain,RACE,ALB,14,8,0,0.01,0.99,670.0,6,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
12,BRGP25,Great Britain,RACE,PIA,2,2,0,0.3361,0.6639,22073.0,243,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
12,BRGP25,Great Britain,RACE,VER,1,5,0,0.3723,0.6277,57279.0,582,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
12,BRGP25,Great Britain,RACE,ANT,7,16,0,0.01,0.99,627.0,6,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
12,BRGP25,Great Britain,RACE,NOR,3,1,1,0.1994,0.8006,13336.0,235,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
12,BRGP25,Great Britain,RACE,LEC,6,14,0,0.0458,0.9542,8822.0,81,2025-07-05T15:20:00+00:00,2025-07-06T14:00:00+00:00
