event,round,race_name,driver,market,vwap_yes,vwap_no,n_trades,volume,price_min,price_max,price_std,grid_pos,gap_to_pole,team,finish_pos,status,is_fastest_lap,outcome,base_win,base_pod,base_rate,edge_yes,edge_no,teammate_grid_delta,is_street,high_overtaking,low_overtaking
AZEGP25,17,Azerbaijan Grand Prix,VER,podium,0.8826,0.1174,214,39434,0.13,0.96,0.071,1,0.0,Red Bull Racing,1,Finished,1.0,1,0.43478260869565216,0.9130434782608695,0.9130434782608695,0.03044347826086946,-0.030443478260869516,-5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,VER,winner,0.6586,0.3414,938,162449,0.18,0.74,0.1049,1,0.0,Red Bull Racing,1,Finished,1.0,1,0.43478260869565216,0.9130434782608695,0.43478260869565216,-0.2238173913043478,0.2238173913043479,-5.0,1,0,0
BELGP25,13,Belgian Grand Prix,ALB,podium,0.0841,0.9159,59,23619,0.02,0.11,0.0189,5,0.6389999999999958,Williams,6,Finished,0.0,0,0.0,0.08695652173913043,0.08695652173913043,0.002856521739130438,-0.0028565217391304243,-10.0,0,1,0
BELGP25,13,Belgian Grand Prix,ALB,winner,1.0,99.0,53,17954,1.0,1.0,0.0,5,0.6389999999999958,Williams,6,Finished,0.0,0,0.0,0.08695652173913043,0.0,-1.0,-98.0,-10.0,0,1,0
BELGP25,13,Belgian Grand Prix,ALO,podium,1.0,99.0,15,1587,1.0,1.0,0.0,19,1.8230000000000075,Aston Martin,17,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-1.0,0,1,0
BELGP25,13,Belgian Grand Prix,ALO,winner,1.0,99.0,26,51546,1.0,1.0,0.0,19,1.8230000000000075,Aston Martin,17,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-1.0,0,1,0
BELGP25,13,Belgian Grand Prix,ANT,podium,0.347,33.5616,19,1805,0.02,1.0,0.4663,18,1.5769999999999982,Mercedes,16,Finished,1.0,0,0.0,0.0,0.0,-0.347,-32.5616,12.0,0,1,0
BELGP25,13,Belgian Grand Prix,ANT,winner,1.0,99.0,15,2729,1.0,1.0,0.0,18,1.5769999999999982,Mercedes,16,Finished,1.0,0,0.0,0.0,0.0,-1.0,-98.0,12.0,0,1,0
BELGP25,13,Belgian Grand Prix,BEA,podium,0.9773,96.7328,9,1297,0.02,1.0,0.3267,12,1.0550000000000068,Haas F1 Team,11,Finished,0.0,0,0.0,0.0,0.0,-0.9773,-95.7328,1.0,0,1,0
BELGP25,13,Belgian Grand Prix,BEA,winner,1.0,99.0,3,102,1.0,1.0,0.0,12,1.0550000000000068,Haas F1 Team,11,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,1.0,0,1,0
BELGP25,13,Belgian Grand Prix,BOR,podium,0.7506,74.0515,5,884,0.02,1.0,0.5368,10,1.8250000000000028,Kick Sauber,9,Finished,0.0,0,0.0,0.0,0.0,-0.7506,-73.0515,-4.0,0,1,0
BELGP25,13,Belgian Grand Prix,BOR,winner,1.0,99.0,2,201,1.0,1.0,0.0,10,1.8250000000000028,Kick Sauber,9,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-4.0,0,1,0
BELGP25,13,Belgian Grand Prix,COL,podium,1.0,99.0,6,1596,1.0,1.0,0.0,17,1.460000000000008,Alpine,19,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,4.0,0,1,0
